0.0000002866300721 0.0000002866300721   0.0000002866300721 #    0    0 virt virt
0.0000002866300721 0.0000004890706048   0.0000000000000000 #    0    1 virt virt
0.0000002866300721 0.4444962574745099   0.0000000000000000 #    0    2 virt virt
0.0000002866300721 0.5555029668248129   0.0000000000000000 #    0    3 virt occu
0.0000004890706048 0.0000002866300721   0.0000000000000000 #    1    0 virt virt
0.0000004890706048 0.0000004890706048   0.0000004890706048 #    1    1 virt virt
0.0000004890706048 0.4444962574745099   0.0000000000000000 #    1    2 virt virt
0.0000004890706048 0.5555029668248129   0.0000000000000000 #    1    3 virt occu
0.4444962574745099 0.0000002866300721   0.0000000000000000 #    2    0 virt virt
0.4444962574745099 0.0000004890706048   0.0000000000000000 #    2    1 virt virt
0.4444962574745099 0.4444962574745099   0.4444962574745099 #    2    2 virt virt
0.4444962574745099 0.5555029668248129   0.0000000000000000 #    2    3 virt occu
0.5555029668248129 0.0000002866300721   0.0000000000000000 #    3    0 occu virt
0.5555029668248129 0.0000004890706048   0.0000000000000000 #    3    1 occu virt
0.5555029668248129 0.4444962574745099   0.0000000000000000 #    3    2 occu virt
0.5555029668248129 0.5555029668248129   0.5555029668248129 #    3    3 occu occu
0.0000000058955048 0.0000000058955048   0.0000000058955048 #    0    0 virt virt
0.0000000058955048 0.0000000065546511   0.0000000000000000 #    0    1 virt virt
0.0000000058955048 0.4878211682110669   0.0000000000000000 #    0    2 virt virt
0.0000000058955048 0.5121788193387773   0.0000000000000000 #    0    3 virt occu
0.0000000065546511 0.0000000058955048   0.0000000000000000 #    1    0 virt virt
0.0000000065546511 0.0000000065546511   0.0000000065546511 #    1    1 virt virt
0.0000000065546511 0.4878211682110669   0.0000000000000000 #    1    2 virt virt
0.0000000065546511 0.5121788193387773   0.0000000000000000 #    1    3 virt occu
0.4878211682110669 0.0000000058955048   0.0000000000000000 #    2    0 virt virt
0.4878211682110669 0.0000000065546511   0.0000000000000000 #    2    1 virt virt
0.4878211682110669 0.4878211682110669   0.4878211682110669 #    2    2 virt virt
0.4878211682110669 0.5121788193387773   0.0000000000000000 #    2    3 virt occu
0.5121788193387773 0.0000000058955048   0.0000000000000000 #    3    0 occu virt
0.5121788193387773 0.0000000065546511   0.0000000000000000 #    3    1 occu virt
0.5121788193387773 0.4878211682110669   0.0000000000000000 #    3    2 occu virt
0.5121788193387773 0.5121788193387773   0.5121788193387773 #    3    3 occu occu
0.0000009107091323 0.0000009107091323   0.0000009107091323 #    0    0 virt virt
0.0000009107091323 0.0000018683209650   0.0000000000000000 #    0    1 virt virt
0.0000009107091323 0.4121874501091846   0.0000000000000000 #    0    2 virt virt
0.0000009107091323 0.5878097708607182   0.0000000000000000 #    0    3 virt occu
0.0000018683209650 0.0000009107091323   0.0000000000000000 #    1    0 virt virt
0.0000018683209650 0.0000018683209650   0.0000018683209650 #    1    1 virt virt
0.0000018683209650 0.4121874501091846   0.0000000000000000 #    1    2 virt virt
0.0000018683209650 0.5878097708607182   0.0000000000000000 #    1    3 virt occu
0.4121874501091846 0.0000009107091323   0.0000000000000000 #    2    0 virt virt
0.4121874501091846 0.0000018683209650   0.0000000000000000 #    2    1 virt virt
0.4121874501091846 0.4121874501091846   0.4121874501091846 #    2    2 virt virt
0.4121874501091846 0.5878097708607182   0.0000000000000000 #    2    3 virt occu
0.5878097708607182 0.0000009107091323   0.0000000000000000 #    3    0 occu virt
0.5878097708607182 0.0000018683209650   0.0000000000000000 #    3    1 occu virt
0.5878097708607182 0.4121874501091846   0.0000000000000000 #    3    2 occu virt
0.5878097708607182 0.5878097708607182   0.5878097708607182 #    3    3 occu occu
0.0001302186425075 0.0001302186425075   0.0001302186425075 #    0    0 virt virt
0.0001302186425075 0.0006242566408500   0.0000000000000000 #    0    1 virt virt
0.0001302186425075 0.0522495961505087   0.0000000000000000 #    0    2 virt virt
0.0001302186425075 0.9469959285661336   0.0000000000000000 #    0    3 virt occu
0.0006242566408500 0.0001302186425075   0.0000000000000000 #    1    0 virt virt
0.0006242566408500 0.0006242566408500   0.0006242566408500 #    1    1 virt virt
0.0006242566408500 0.0522495961505087   0.0000000000000000 #    1    2 virt virt
0.0006242566408500 0.9469959285661336   0.0000000000000000 #    1    3 virt occu
0.0522495961505087 0.0001302186425075   0.0000000000000000 #    2    0 virt virt
0.0522495961505087 0.0006242566408500   0.0000000000000000 #    2    1 virt virt
0.0522495961505087 0.0522495961505087   0.0522495961505087 #    2    2 virt virt
0.0522495961505087 0.9469959285661336   0.0000000000000000 #    2    3 virt occu
0.9469959285661336 0.0001302186425075   0.0000000000000000 #    3    0 occu virt
0.9469959285661336 0.0006242566408500   0.0000000000000000 #    3    1 occu virt
0.9469959285661336 0.0522495961505087   0.0000000000000000 #    3    2 occu virt
0.9469959285661336 0.9469959285661336   0.9469959285661336 #    3    3 occu occu
0.0000387987376359 0.0000387987376359   0.0000387987376359 #    0    0 virt virt
0.0000387987376359 0.0000998292980047   0.0000000000000000 #    0    1 virt virt
0.0000387987376359 0.1757772414815572   0.0000000000000000 #    0    2 virt virt
0.0000387987376359 0.8240841304828024   0.0000000000000000 #    0    3 virt occu
0.0000998292980047 0.0000387987376359   0.0000000000000000 #    1    0 virt virt
0.0000998292980047 0.0000998292980047   0.0000998292980047 #    1    1 virt virt
0.0000998292980047 0.1757772414815572   0.0000000000000000 #    1    2 virt virt
0.0000998292980047 0.8240841304828024   0.0000000000000000 #    1    3 virt occu
0.1757772414815572 0.0000387987376359   0.0000000000000000 #    2    0 virt virt
0.1757772414815572 0.0000998292980047   0.0000000000000000 #    2    1 virt virt
0.1757772414815572 0.1757772414815572   0.1757772414815572 #    2    2 virt virt
0.1757772414815572 0.8240841304828024   0.0000000000000000 #    2    3 virt occu
0.8240841304828024 0.0000387987376359   0.0000000000000000 #    3    0 occu virt
0.8240841304828024 0.0000998292980047   0.0000000000000000 #    3    1 occu virt
0.8240841304828024 0.1757772414815572   0.0000000000000000 #    3    2 occu virt
0.8240841304828024 0.8240841304828024   0.8240841304828024 #    3    3 occu occu
0.0000623811473357 0.0000623811473357   0.0000623811473357 #    0    0 virt virt
0.0000623811473357 0.0001720054469984   0.0000000000000000 #    0    1 virt virt
0.0000623811473357 0.1306257766742517   0.0000000000000000 #    0    2 virt virt
0.0000623811473357 0.8691398367314140   0.0000000000000000 #    0    3 virt occu
0.0001720054469984 0.0000623811473357   0.0000000000000000 #    1    0 virt virt
