0.0000000000000126 0.0000000000000126   0.0000000000000124 #    0    1 virt virt
0.0000000000000126 0.4999641138609484   0.0000000788866458 #    0    2 virt virt
0.0000000000000126 0.5000358861390262   0.0000000788923079 #    0    3 virt occu
0.0000000000000126 0.0000000000000126   0.0000000000000124 #    1    0 virt virt
0.0000000000000126 0.4999641138609484   0.0000000789016496 #    1    2 virt virt
0.0000000000000126 0.5000358861390262   0.0000000789073127 #    1    3 virt occu
0.4999641138609484 0.0000000000000126   0.0000000788866458 #    2    0 virt virt
0.4999641138609484 0.0000000000000126   0.0000000789016496 #    2    1 virt virt
0.4999641138609484 0.5000358861390262   0.4999999987121712 #    2    3 virt occu
0.5000358861390262 0.0000000000000126   0.0000000788923079 #    3    0 occu virt
0.5000358861390262 0.0000000000000126   0.0000000789073127 #    3    1 occu virt
0.5000358861390262 0.4999641138609484   0.4999999987121712 #    3    2 occu virt
0.0000000000000019 0.0000000000000004   0.0000000000000001 #    0    1 virt virt
0.0000000000000019 0.0000131157088629  -0.0000000000250530 #    0    2 virt virt
0.0000000000000019 0.9999868842911364  -0.0000000078133852 #    0    3 virt occu
0.0000000000000019 0.0000000000000005   0.0000000000000001 #    1    0 virt virt
0.0000000000000019 0.0000131157088629  -0.0000000000261263 #    1    2 virt virt
0.0000000000000019 0.9999868842911364  -0.0000000081481250 #    1    3 virt occu
0.0000131157171712 0.0000000000000005  -0.0000000000250530 #    2    0 virt virt
0.0000131157171712 0.0000000000000004  -0.0000000000261263 #    2    1 virt virt
0.0000131157171712 0.9999868842911364   0.0032063702640178 #    2    3 virt occu
0.9999868842828252 0.0000000000000005  -0.0000000078133852 #    3    0 occu virt
0.9999868842828252 0.0000000000000004  -0.0000000081481250 #    3    1 occu virt
0.9999868842828252 0.0000131157088629   0.0032063702640178 #    3    2 occu virt
0.0000000000005572 0.0000000000005579   0.0000000000005576 #    0    1 virt virt
0.0000000000005572 0.4997805405420422  -0.0000005276886661 #    0    2 virt virt
0.0000000000005572 0.5002194594568429  -0.0000005279203295 #    0    3 virt occu
0.0000000000005579 0.0000000000005572   0.0000000000005576 #    1    0 virt virt
0.0000000000005579 0.4997805405420422  -0.0000005280634957 #    1    2 virt virt
0.0000000000005579 0.5002194594568429  -0.0000005282953237 #    1    3 virt occu
0.4997805405420422 0.0000000000005572  -0.0000005276886661 #    2    0 virt virt
0.4997805405420422 0.0000000000005579  -0.0000005280634957 #    2    1 virt virt
0.4997805405420422 0.5002194594568429   0.4999999518369868 #    2    3 virt occu
0.5002194594568429 0.0000000000005572  -0.0000005279203295 #    3    0 occu virt
0.5002194594568429 0.0000000000005579  -0.0000005282953237 #    3    1 occu virt
0.5002194594568429 0.4997805405420422   0.4999999518369868 #    3    2 occu virt
0.0000035067687345 0.0000084260101472  -0.0000054358135492 #    0    1 virt virt
0.0000035067687345 0.3525487670505054   0.0011118934273092 #    0    2 virt virt
0.0000035067687345 0.6474393001706134   0.0015067912580549 #    0    3 virt occu
0.0000084260101472 0.0000035067687345  -0.0000054358135492 #    1    0 virt virt
0.0000084260101472 0.3525487670505054  -0.0017235369124425 #    1    2 virt virt
0.0000084260101472 0.6474393001706134  -0.0023356648117691 #    1    3 virt occu
0.3525487670505054 0.0000035067687345   0.0011118934273092 #    2    0 virt virt
0.3525487670505054 0.0000084260101472  -0.0017235369124425 #    2    1 virt virt
0.3525487670505054 0.6474393001706134   0.4777592772675292 #    2    3 virt occu
0.6474393001706134 0.0000035067687345   0.0015067912580549 #    3    0 occu virt
0.6474393001706134 0.0000084260101472  -0.0023356648117691 #    3    1 occu virt
0.6474393001706134 0.3525487670505054   0.4777592772675292 #    3    2 occu virt
0.0000000335690775 0.0000000428207218   0.0000000379137459 #    0    1 virt virt
0.0000000335690775 0.4760422746007542  -0.0001264132113384 #    0    2 virt virt
0.0000000335690775 0.5239576490094464  -0.0001326226787431 #    0    3 virt occu
0.0000000428207218 0.0000000335690775   0.0000000379137459 #    1    0 virt virt
0.0000000428207218 0.4760422746007542  -0.0001427742056601 #    1    2 virt virt
0.0000000428207218 0.5239576490094464  -0.0001497873316372 #    1    3 virt occu
0.4760422746007542 0.0000000335690775  -0.0001264132113384 #    2    0 virt virt
0.4760422746007542 0.0000000428207218  -0.0001427742056601 #    2    1 virt virt
0.4760422746007542 0.5239576490094464   0.4994256611638217 #    2    3 virt occu
0.5239576490094464 0.0000000335690775  -0.0001326226787431 #    3    0 occu virt
0.5239576490094464 0.0000000428207218  -0.0001497873316372 #    3    1 occu virt
0.5239576490094464 0.4760422746007542   0.4994256611638217 #    3    2 occu virt
0.0000001469061264 0.0000002259965267  -0.0000001822094243 #    0    1 virt virt
0.0000001469061264 0.4573759897266219   0.0002592129143028 #    0    2 virt virt
0.0000001469061264 0.5426236373707255   0.0002823379829888 #    0    3 virt occu
0.0000002259965267 0.0000001469061264  -0.0000001822094243 #    1    0 virt virt
0.0000002259965267 0.4573759897266219  -0.0003215048756794 #    1    2 virt virt
0.0000002259965267 0.5426236373707255  -0.0003501871747575 #    1    3 virt occu
0.4573759897266219 0.0000001469061264   0.0002592129143028 #    2    0 virt virt
0.4573759897266219 0.0000002259965267  -0.0003215048756794 #    2    1 virt virt
0.4573759897266219 0.5426236373707255   0.4981797097348457 #    2    3 virt occu
0.5426236373707255 0.0000001469061264   0.0002823379829888 #    3    0 occu virt
0.5426236373707255 0.0000002259965267  -0.0003501871747575 #    3    1 occu virt
0.5426236373707255 0.4573759897266219   0.4981797097348457 #    3    2 occu virt
0.0001490110675706 0.0013590373442481  -0.0004500128948538 #    0    1 virt virt
0.0001490110675706 0.0261919406645952   0.0019755730915804 #    0    2 virt virt
